Line_no,Process_Name,Process_Time_0osec,Stack
684,AHRS,39466,1064
685,ADU,8747,2480
686,GPS,7040,2544
687,EMS,54187,3816
688,DIO,81920,848
689,acutator,0,864
690,CLAW,0,3280
691,annunciator,0,2304
692,FDIR,5706,552
693,test_execuPost_process,0,744
694,telemetry,0,3536
695,data_validation,0,2480
696,
697,state_machine,0,2480
698,ADAHRS,18454,3152
699,Post_process,0,680
700,read_interface,88854,784
701,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=5, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
702,AHRS,0,1064
703,ADU,8000,2480
704,GPS,6667,2544
705,EMS,2161120,3816
706,DIO,84106,848
707,acutator,82613,864
708,CLAW,0,3280
709,annunciator,0,2304
710,FDIR,5654,552
711,test_execuPost_process,0,744
712,telemetry,0,3536
713,data_validation,0,2480
714,
715,state_machine,0,2480
716,ADAHRS,18720,3152
717,Post_process,0,680
718,read_interface,72960,784
719,,, ADU=5,AHRS=9,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=7, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
720,AHRS,10454,1064
721,ADU,9813,2480
722,GPS,7573,2544
723,EMS,7733,3816
724,DIO,87840,848
725,acutator,0,864
726,CLAW,0,3280
727,annunciator,0,2304
728,FDIR,6400,552
729,test_execuPost_process,0,744
730,telemetry,745973,3536
731,data_validation,0,2480
732,
733,state_machine,0,2480
734,ADAHRS,34293,3152
735,Post_process,0,680
736,read_interface,155946,784
737,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=4, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
738,AHRS,0,1064
739,ADU,8693,2480
740,GPS,6880,2544
741,EMS,7093,3816
742,DIO,91627,848
743,acutator,0,864
744,CLAW,0,3280
745,annunciator,0,2304
746,FDIR,5600,552
747,test_execuPost_process,0,744
748,telemetry,0,3536
749,data_validation,0,2480
750,
751,state_machine,0,2480
752,ADAHRS,18560,3152
753,Post_process,0,680
754,read_interface,185547,784
755,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=39, CLAW=40, Data_valid=41, DIO=4, FDIR=5, POST=39, Telem=40, Test_Exec=31889, Read_thread = 5
756,AHRS,50400,1064
757,ADU,35147,2480
758,GPS,7574,2544
759,EMS,7627,3816
760,DIO,82880,848
761,acutator,0,864
762,CLAW,0,3280
763,annunciator,103413,2304
764,FDIR,5493,552
765,test_execuPost_process,4320,744
766,telemetry,0,3536
767,data_validation,0,2480
768,
769,state_machine,0,2480
770,ADAHRS,18667,3152
771,Post_process,11573,680
772,read_interface,73707,784
773,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=41, DIO=5, FDIR=5, POST=40, Telem=40, Test_Exec=31889, Read_thread = 5
774,AHRS,0,1064
775,ADU,9067,2480
776,GPS,6880,2544
777,EMS,7253,3816
778,DIO,82400,848
779,acutator,0,864
780,CLAW,0,3280
781,annunciator,0,2304
782,FDIR,5973,552
783,test_execuPost_process,4106,744
784,telemetry,0,3536
785,data_validation,0,2480
786,
787,state_machine,0,2480
788,ADAHRS,18613,3152
789,Post_process,0,680
790,read_interface,76000,784
791,,, ADU=5,AHRS=10,GPS=5, EMS=5, ADAHRS=5, Actu=40, Annun_Pann=40, CLAW=40, Data_valid=41, DIO=5, FDIR=5, POST=40, Telem=40, Test_Exec=31889, Read_thread = 5
792,AHRS,8426,1064
793,ADU,8266,2480
794,GPS,6666,2544
795,EMS,7360,3816
796,DIO,90293,848
797,acutator,0,864
798,CLAW,0,3280
799,annunciator,0,2304
800,FDIR,5387,552
801,test_execuPost_process,37067,744
802,telemetry,0,3536
803,data_validation,553066,3000
